"","annint","hrint","hiv.incid.low","hiv.incid","hiv.incid.high","hiv.hr.low","hiv.hr","hiv.hr.high","hiv.pia.low","hiv.pia","hiv.pia.high","hiv.nnt.low","hiv.nnt","hiv.nnt.high","gc.incid.low","gc.incid","gc.incid.high","gc.hr.low","gc.hr","gc.hr.high","gc.pia.low","gc.pia","gc.pia.high","gc.nnt.low","gc.nnt","gc.nnt.high","ct.incid.low","ct.incid","ct.incid.high","ct.hr.low","ct.hr","ct.hr.high","ct.pia.low","ct.pia","ct.pia.high","ct.nnt.low","ct.nnt","ct.nnt.high","syph.incid.low","syph.incid","syph.incid.high","syph.hr.low","syph.hr","syph.hr.high","syph.pia.low","syph.pia","syph.pia.high","syph.nnt.low","syph.nnt","syph.nnt.high"
"1",52,26,3.56877934978665,3.77373362923087,3.93784528316691,1,1,1,0,0,0,NA,NA,NA,2.80362901132527,3.91099560319178,5.10307819338239,1,1,1,0,0,0,0,0,0,5.87160003389854,6.61971679890022,7.37957042046054,1,1,1,0,0,0,-0.0794799101962988,0.00225970325850534,0.0849186429446268,15.2103037151305,16.2043857728161,17.1377703157313,1,1,1,0,0,0,0,0,0
"2",4,26,3.05844994007271,3.24682639796807,3.43685383954783,0.797242993425568,0.867773395409056,0.92327219273127,0.0593979960387787,0.0935203414928825,0.120663397886836,5989.27656425891,7790.992,11554.7607777065,0,0,0.00456935490274729,0,0,0.00169514402877312,0.722460061895075,0.780611521619303,0.826218744685584,101.232961647535,106.227218889462,112.482442437497,0,0.0341090436658341,0.0997077244006153,0,0.00498293079001553,0.0140927987604782,0.776234482559461,0.797061380204722,0.823728374521981,67.0064193833152,68.2903849644925,69.7806701736694,11.606047163964,12.4841297583759,13.3660709900958,0.707033374876664,0.767648028551722,0.853143215041107,0.0630132167061583,0.10579538551661,0.142985995824627,227.40990951055,278.958411736078,389.040742673393
"3",9,26,3.1808989955799,3.31531798592824,3.51159231201181,0.823074158270188,0.894336055332586,0.950018762940365,0.0453963581946347,0.0831474795801238,0.10985230211337,2875.82283480984,4110.35549121828,6761.18728495464,0,0.0637401747718444,0.22966581315142,0,0.0173381622954889,0.063731567132694,0.608877168773906,0.695030686130285,0.760910023666037,53.1431613273804,57.1960349786714,62.267132424947,0.14148475008971,0.220997677322498,0.348260901820482,0.019305113811415,0.0337538508092732,0.0542892230436599,0.693069447902121,0.723728767610459,0.754948041529488,35.0396002869603,36.1632275005278,37.5292264946132,12.6355153435612,13.4841173385035,14.2706393280345,0.764994376753334,0.839499489847303,0.913633100084679,0.0363620882399709,0.0717661516625539,0.122357294128323,127.468162964959,173.236000764463,257.258003992806
"4",13,26,3.20284533842954,3.37861775034847,3.5719208526884,0.828718180796284,0.893559254560727,0.972988958647581,0.0406130200002474,0.0720810077395059,0.0998089208576844,2227.62668918919,3078.47196261682,4901.73453565506,0.0227190032342101,0.197439244898136,0.453842330719246,0.004096795922242,0.0537026029770171,0.129657249554235,0.552260847275955,0.651733414704974,0.717583967477674,38.9860677350062,43.7937079616645,48.0646991886828,0.213683905875505,0.357471325455018,0.547855950359872,0.0331477133278984,0.054810419127677,0.083220939527623,0.647454401831103,0.687595456194254,0.720612482033394,25.9601211520689,26.8225568210894,28.0731485829207,12.8426269181414,13.7078968827813,14.530536214709,0.779172824134675,0.855175058593755,0.93254811709305,0.0273015961532276,0.0680007104980039,0.108407366404496,99.6734946574055,136.718221426761,221.177858191537
"5",17,26,3.14509704261024,3.34607195232695,3.54834180501344,0.816054566605672,0.885810788606177,0.975699084538462,0.0368973719231534,0.0647589179088883,0.0933988169585382,1895.46527484441,2690.27513227513,4582.0972972973,0.0623343517618221,0.301996409946663,0.80589234877354,0.0124028788955213,0.0754624619385685,0.215735382965275,0.486063312892356,0.621325837076417,0.705455954059893,31.5573788567851,35.2265928234831,40.1650883399344,0.368910060785305,0.558431466655721,0.801643347442487,0.0555531406664617,0.0840258960277377,0.126567107473474,0.601425938431337,0.646478598679553,0.681891641033557,20.9267073102252,21.9401642321365,23.2340366626564,13.1537505325206,14.1238106429821,15.0071724296584,0.79037445996656,0.870962766585333,0.961169173559094,0.0120990964682324,0.0589595897907396,0.103214316967527,71.113802901395,108.836811761998,184.713708726415
"6",21,26,3.2047098790477,3.3751693689124,3.58683412700632,0.834850869690657,0.89313507538746,0.977314911196092,0.0368895007977076,0.0638763998736724,0.0868312331063785,1612.77277131783,2161.72181041609,3408.54166666667,0.190761414040166,0.506546657078842,0.833702080614339,0.0466151548868364,0.117375862112413,0.239834010313706,0.440593046813485,0.567356146734741,0.66789092418751,27.0428943285074,30.5345844751726,36.311385735985,0.494137840814805,0.729756188014096,0.952689929232304,0.0734838234983723,0.107544873783023,0.150087516401883,0.569834697980287,0.619538093956719,0.66400348198371,17.5500280951752,18.4312747896086,19.7074178739007,13.3573364675741,14.3549196435305,15.2233142848905,0.797755612534812,0.895775242291738,0.977086345077318,0.0152314123221668,0.0553611477883658,0.0935501474476533,62.4829474327989,93.5363550143621,162.12192356085
"7",26,26,3.2137903469939,3.40882706246679,3.58869394913811,0.834588463064418,0.898638977697152,0.971098178186389,0.0311139072297226,0.0610731192155044,0.0867105654760526,1282.49045801527,1828.48112839299,2967.36187514949,0.233655532623899,0.636224579857665,1.08264557191061,0.0610840203334821,0.142964324671262,0.327823050808333,0.393597939676723,0.506738189743255,0.615696097995589,23.5325709152843,27.2392934667933,34.1486141872063,0.66546955510082,0.931795134163409,1.19226070744368,0.104660381181913,0.145354109113123,0.193096532106917,0.52738207580818,0.579507381544919,0.629366057188507,15.1141421212426,15.8753435486284,17.260482442469,13.5065899736027,14.496978074655,15.4156413075176,0.828719455835516,0.896421538503477,0.97352520533279,0.00364093083744779,0.0538188242784384,0.0895956898031032,51.2393850050108,75.9620722352741,156.619028340081
"8",30,26,3.22130087779055,3.41828537612821,3.63105127102423,0.836481046892528,0.906209633208654,0.989385238953724,0.021431297083509,0.0523055996912752,0.0812127951851466,1038.78849055874,1652.3871146813,2923.36927952999,0.372529185564972,0.736886738776802,1.32976480993728,0.084496015555968,0.182966534005146,0.348988171548673,0.342235978521599,0.497392163769908,0.593307323241392,21.3849652551318,24.8807658146901,31.0526793238827,0.790282179306635,1.13171987001407,1.47592531844295,0.120000874972535,0.165108481728442,0.237670235505865,0.502752660244573,0.558263991880788,0.606354840180211,13.4433416742403,14.4394409611734,15.7002295349934,13.7146950504589,14.5106290229845,15.3571578854672,0.816878199046148,0.895256926576275,0.990655704880465,0.00455043962072573,0.0462363908224162,0.0798314920609878,39.9448010249856,65.8388998035363,144.641202769626
"9",34,26,3.24763484803374,3.41545032691494,3.60179634612615,0.836737261320195,0.909005736814951,0.984390259548977,0.0239445740886386,0.0564683684023121,0.0847749466309264,911.170126973233,1382.97215041128,2397.31454248366,0.373469178322523,0.792728558575749,1.29624485997696,0.102563560189448,0.213509202924909,0.346295941740944,0.308367477037553,0.45043394211817,0.580282977296006,19.2583320810119,23.0982340477741,31.3515101281422,0.935377612669649,1.22350755066917,1.55719285754638,0.139601141457887,0.182893446968957,0.244760104666654,0.479417401056472,0.531782280350719,0.578966161521573,12.4338794571794,13.3685228577369,14.5191136749198,13.6622912798216,14.5078049962955,15.4324328634232,0.823805490920967,0.895650244116897,0.98433745238196,0.0043446069594537,0.0427034327297486,0.0872882617558431,37.3549003581002,59.8265861790261,117.35280756941
"10",39,26,3.24607200137886,3.43248806631932,3.65119972648447,0.847062786757363,0.909757690575303,0.990548336946203,0.0208154520085869,0.050011121948918,0.0783068282552096,764.449155890805,1216.17582417582,2193.40485294118,0.446779947738426,0.824743524934048,1.38489601135156,0.10454179258019,0.225145339450052,0.402908603635255,0.321895866054872,0.466416188936082,0.580593630166365,17.1613132108242,20.2442725276197,25.8223987538097,1.07797445640146,1.43548799396444,1.74802421531973,0.160711010927923,0.222461636478886,0.275143037944998,0.448621527979692,0.510631174694061,0.553275086013039,11.3567425430255,12.295655169168,13.4422395964066,13.7200482385068,14.4960503693486,15.5617002763475,0.831772928909951,0.90828592924858,0.993464119234948,0.00113726603196983,0.0393778284823263,0.0906032430962116,30.3110623667303,48.6052179837451,95.6095368927527
