,anncov,hrcov,annint,hrint,gc.incid,gc.pia,gc.txyr1,gc.tx,gc.nnt,gc.tx.asymptyr1,gc.tx.asympt,gc.tx.symptyr1,gc.tx.sympt,gc.txperpy,gc.asympt.tests.py,gc.asympt.tests,ct.incid,ct.pia,ct.txyr1,ct.tx,ct.nnt,ct.tx.asymptyr1,ct.tx.asympt,ct.tx.symptyr1,ct.tx.sympt,ct.txperpy,ct.asympt.tests.py,ct.asympt.tests,sti.incid,sti.pia,sti.txyr1,sti.tx,sti.nnt,sti.tx.asymptyr1,sti.tx.asympt,sti.tx.symptyr1,sti.tx.sympt,sti.txperpy,sti.asympt.tests.py,sti.asympt.tests,gc.incid.g1,gc.pia.g1,gc.nnt.g1,gc.asympt.tests.py.g1,gc.asympt.tests.g1,gctx.g1,gctxpy.g1,ct.incid.g1,ct.pia.g1,ct.nnt.g1,ct.asympt.tests.py.g1,ct.asympt.tests.g1,cttx.g1,cttxpy.g1,sti.incid.g1,sti.pia.g1,sti.nnt.g1,sti.asympt.tests.py.g1,sti.asympt.tests.g1,tx.sti.g1,txperpy.sti.g1,gc.incid.g2,gc.pia.g2,gc.nnt.g2,gc.asympt.tests.py.g2,gc.asympt.tests.g2,gctx.g2,gctxpy.g2,ct.incid.g2,ct.pia.g2,ct.nnt.g2,ct.asympt.tests.py.g2,ct.asympt.tests.g2,cttx.g2,cttxpy.g2,sti.incid.g2,sti.pia.g2,sti.nnt.g2,sti.asympt.tests.py.g2,sti.asympt.tests.g2,tx.sti.g2,txperpy.sti.g2
11,0.44,0.6,52,26,0 (0 - 0),0.84 (0.7 - 0.91),348 (256 - 454),763 (490 - 1234),30.32 (22.51 - 55.44),99 (74 - 136),208 (138 - 311),248 (182 - 327),568 (348 - 902),4.67 (4.09 - 4.94),2.41 (2.41 - 2.42),267654 (265607 - 269164),0 (0 - 0),0.88 (0.85 - 0.91),692 (601 - 808),1184 (982 - 1324),18.25 (16.01 - 21.96),406 (356 - 464),678 (572 - 745),284 (243 - 338),511 (417 - 594),2.69 (2.6 - 2.94),2.41 (2.4 - 2.41),266630 (264848 - 268682),0 (0 - 0),0.87 (0.82 - 0.89),1093 (926 - 1205),2017 (1619 - 2449),22.6 (19.04 - 29.62),514 (464 - 565),896 (772 - 1020),548 (451 - 650),1111 (852 - 1447),3.8 (3.46 - 4.24),4.82 (4.81 - 4.83),534240 (530501 - 537812),0 (0 - 0),9.65 (4.71 - 17.38),-16.61 (-28.6 - -12.74),0.77 (0.76 - 0.78),23110 (22936 - 23312),NA,NA,0 (0 - 0),13.3 (10.52 - 17.74),-9.78 (-11.44 - -8.59),0.77 (0.76 - 0.77),22930 (22717 - 23094),NA,NA,0 (0 - 0),11.6 (8.74 - 15.17),-12.22 (-15.32 - -10.39),0.41 (0.41 - 0.42),46052 (45684 - 46389),NA,NA,0 (0 - 0),-1 (-1 - -1),-753.79 (-1150.09 - -447.12),7.31 (7.26 - 7.34),244493 (242480 - 245955),NA,NA,0 (0 - 0),-1 (-1 - -1),-545.39 (-689.8 - -480.04),7.29 (7.25 - 7.32),243744 (241909 - 245745),NA,NA,0 (0 - 0),10.46 (7.81 - 13.77),56.23 (47.84 - 71.16),4.4 (4.39 - 4.41),488312 (484386 - 491752),NA,NA
12,0.44,0.7,52,26,0 (0 - 0),0.83 (0.68 - 0.9),378 (286 - 498),835 (624 - 1146),32.75 (23.86 - 58.34),116 (82 - 147),232 (165 - 298),265 (201 - 348),614 (459 - 846),4.64 (4.2 - 4.91),2.49 (2.48 - 2.49),276165 (273910 - 278316),0 (0 - 0),0.88 (0.86 - 0.91),692 (577 - 792),1124 (942 - 1352),18.87 (16.67 - 22.62),404 (350 - 472),653 (534 - 754),280 (230 - 326),486 (397 - 594),2.92 (2.72 - 2.95),2.48 (2.47 - 2.49),275385 (273561 - 277789),0 (0 - 0),0.86 (0.82 - 0.9),1104 (938 - 1215),2018 (1738 - 2338),24.62 (19.78 - 30.2),523 (469 - 581),910 (772 - 1016),572 (468 - 638),1105 (936 - 1364),3.56 (3.26 - 4.26),4.97 (4.96 - 4.98),551205 (547502 - 555941),0 (0 - 0),9.34 (4.94 - 17.35),-17.37 (-28.96 - -12.78),0.78 (0.77 - 0.79),21850 (21602 - 22042),NA,NA,0 (0 - 0),14.62 (12.26 - 19.35),-9.99 (-11.36 - -8.87),0.77 (0.77 - 0.78),21640 (21489 - 21820),NA,NA,0 (0 - 0),12.18 (9.45 - 16.36),-12.69 (-15.59 - -10.66),0.39 (0.39 - 0.4),43480 (43115 - 43868),NA,NA,0 (0 - 0),-1 (-1 - -1),-631.23 (-861.78 - -437.67),6.7 (6.68 - 6.74),254156 (251997 - 256409),NA,NA,0 (0 - 0),-1 (-1 - -1),-543.73 (-693.02 - -442.83),6.69 (6.67 - 6.73),253688 (251680 - 255841),NA,NA,0 (0 - 0),9.31 (6.68 - 12.4),60.94 (50.14 - 73.42),4.58 (4.57 - 4.59),507664 (503902 - 512245),NA,NA
13,0.44,0.8,52,26,0 (0 - 0),0.84 (0.71 - 0.9),378 (288 - 526),837 (558 - 1153),32.53 (24.26 - 64.95),114 (86 - 151),230 (166 - 306),265 (200 - 360),606 (401 - 850),4.72 (4.07 - 4.78),2.55 (2.54 - 2.55),282680 (280846 - 284393),0 (0 - 0),0.9 (0.87 - 0.92),641 (571 - 802),1072 (878 - 1270),19.31 (17.19 - 23.08),396 (349 - 472),622 (526 - 726),253 (221 - 325),450 (363 - 540),2.69 (2.4 - 2.74),2.54 (2.53 - 2.55),281882 (280076 - 283763),0 (0 - 0),0.88 (0.83 - 0.9),1108 (917 - 1192),1911 (1619 - 2280),24.59 (21.09 - 31.26),526 (469 - 584),868 (752 - 986),562 (457 - 625),1081 (861 - 1316),3.79 (3.51 - 4.23),5.09 (5.07 - 5.1),564528 (560786 - 568010),0 (0 - 0),11.43 (5.21 - 19.5),-16.83 (-29.69 - -12.93),0.81 (0.8 - 0.82),21246 (21003 - 21408),NA,NA,0 (0 - 0),18.76 (14.68 - 23.14),-9.88 (-11.53 - -8.82),0.8 (0.8 - 0.81),21086 (20900 - 21241),NA,NA,0 (0 - 0),14.43 (10.88 - 18.96),-12.48 (-15.72 - -10.68),0.38 (0.38 - 0.38),42367 (41927 - 42655),NA,NA,0 (0 - 0),-1 (-1 - -1),-600.32 (-888.13 - -424.89),6.23 (6.21 - 6.25),261437 (259376 - 263089),NA,NA,0 (0 - 0),-1 (-1 - -1),-549.93 (-709.38 - -448.14),6.22 (6.2 - 6.24),260888 (258860 - 262751),NA,NA,0 (0 - 0),9.12 (6.65 - 11.62),61.85 (52.22 - 77.79),4.71 (4.69 - 4.72),522164 (518351 - 525596),NA,NA
14,0.44,0.9,52,26,0 (0 - 0),0.84 (0.76 - 0.9),376 (266 - 481),766 (506 - 1024),34.62 (24.81 - 58.32),112 (80 - 144),212 (149 - 289),262 (183 - 340),552 (358 - 739),4.76 (4.47 - 5.07),2.59 (2.58 - 2.6),286955 (285378 - 289250),0 (0 - 0),0.9 (0.87 - 0.92),684 (563 - 793),1066 (897 - 1245),20.01 (17.51 - 24.02),410 (347 - 482),628 (526 - 726),270 (220 - 316),456 (365 - 530),2.59 (2.36 - 2.98),2.58 (2.58 - 2.59),286226 (284410 - 288746),0 (0 - 0),0.88 (0.84 - 0.91),1084 (916 - 1174),1880 (1569 - 2214),24.95 (21.09 - 31.13),526 (471 - 592),864 (738 - 967),544 (447 - 614),996 (820 - 1250),3.34 (3.08 - 4.41),5.17 (5.16 - 5.18),573485 (569728 - 577861),0 (0 - 0),11.13 (7.39 - 19.36),-17.25 (-26.79 - -12.85),0.85 (0.84 - 0.86),20971 (20720 - 21218),NA,NA,0 (0 - 0),19.54 (15.09 - 24.61),-10.13 (-11.48 - -8.95),0.84 (0.84 - 0.85),20786 (20613 - 20988),NA,NA,0 (0 - 0),15.96 (12.04 - 20.66),-12.52 (-15.61 - -10.81),0.38 (0.37 - 0.38),41794 (41303 - 42182),NA,NA,0 (0 - 0),-1 (-1 - -1),-604.59 (-942.66 - -435.31),5.85 (5.82 - 5.87),266145 (264199 - 268381),NA,NA,0 (0 - 0),-1 (-1 - -1),-543.67 (-640.26 - -432.35),5.84 (5.81 - 5.86),265471 (263604 - 267982),NA,NA,0 (0 - 0),8.27 (6.18 - 11.68),62.7 (53.53 - 78.46),4.8 (4.78 - 4.81),531876 (527826 - 536232),NA,NA
15,0.44,1,52,26,0 (0 - 0),0.86 (0.78 - 0.92),334 (262 - 478),693 (454 - 1016),34.33 (25.18 - 55.24),110 (80 - 137),199 (140 - 282),228 (178 - 332),496 (315 - 728),4.86 (4.7 - 5.19),2.63 (2.62 - 2.63),291338 (289470 - 293216),0 (0 - 0),0.9 (0.88 - 0.92),668 (571 - 778),1082 (876 - 1222),19.96 (17.62 - 23.53),406 (354 - 456),630 (531 - 712),262 (216 - 317),440 (358 - 513),2.26 (2.22 - 2.32),2.62 (2.61 - 2.63),290263 (288558 - 292419),0 (0 - 0),0.88 (0.85 - 0.91),1052 (892 - 1164),1850 (1510 - 2136),25.29 (21.36 - 31.57),518 (474 - 565),852 (739 - 950),514 (426 - 604),959 (764 - 1150),4.13 (3.32 - 4.52),5.25 (5.24 - 5.26),581548 (578152 - 585617),0 (0 - 0),13.87 (8.15 - 26.5),-16.63 (-26.69 - -12.91),0.89 (0.88 - 0.9),20690 (20477 - 20910),NA,NA,0 (0 - 0),21.74 (17.03 - 27.77),-9.9 (-11.46 - -8.86),0.89 (0.88 - 0.89),20549 (20358 - 20759),NA,NA,0 (0 - 0),18.2 (13.33 - 24.32),-12.37 (-15.52 - -10.68),0.37 (0.37 - 0.38),41240 (40842 - 41658),NA,NA,0 (0 - 0),-1 (-1 - -1),-631.73 (-984.69 - -434.85),5.53 (5.51 - 5.56),270588 (268652 - 272706),NA,NA,0 (0 - 0),-1 (-1 - -1),-507.18 (-620.36 - -426.56),5.52 (5.49 - 5.55),269739 (267824 - 271740),NA,NA,0 (0 - 0),8.26 (6.19 - 11.86),64.26 (54.11 - 80.67),4.87 (4.86 - 4.89),540432 (536629 - 544418),NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.98 (1.58 - 4.72),0 (0 - 0),NA (NA - NA),3.58 (3.5 - 3.64),0.7 (0.69 - 0.7),,,,,,,,5.35 (4.29 - 6.36),0 (0 - 0),NA (NA - NA),1.46 (1.43 - 1.47),0.69 (0.68 - 0.69),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.64 (1.14 - 4.03),0.11 (-0.46 - 0.43),1.31 (-1.45 - 2.98),3.64 (3.54 - 3.73),0.77 (0.76 - 0.77),,,,,,,,4.39 (3.34 - 5.41),0.12 (-0.07 - 0.29),1.61 (-2.29 - 3.2),1.52 (1.5 - 1.54),0.76 (0.75 - 0.76),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.04 (0.99 - 3.89),0.2 (-0.47 - 0.51),1.95 (-3.61 - 4.74),3.68 (3.6 - 3.79),0.84 (0.83 - 0.84),,,,,,,,3.04 (2.27 - 4.09),0.25 (0.04 - 0.38),3.76 (1.9 - 6.3),1.59 (1.57 - 1.62),0.83 (0.82 - 0.83),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.67 (0.85 - 3.25),0.15 (-0.32 - 0.5),2.74 (-8.12 - 6.72),3.73 (3.62 - 3.8),0.9 (0.9 - 0.91),,,,,,,,2.26 (1.79 - 3.2),0.33 (0.18 - 0.47),4.84 (3.17 - 7.93),1.66 (1.64 - 1.7),0.89 (0.89 - 0.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.2 (0.47 - 2.36),0.34 (-0.1 - 0.6),4.75 (-6.75 - 10.71),3.73 (3.62 - 3.84),0.97 (0.97 - 0.98),,,,,,,,1.68 (1.15 - 2.34),0.42 (0.29 - 0.54),5.73 (4.08 - 8.91),1.74 (1.71 - 1.76),0.96 (0.96 - 0.97),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.36 (0 - 0.89),0.62 (0.34 - 0.76),13.91 (8.05 - 22.89),4.07 (3.89 - 4.2),1.41 (1.41 - 1.42),,,,,,,,0.26 (0.07 - 0.46),0.69 (0.61 - 0.76),9.64 (8.14 - 13.21),2.13 (2.06 - 2.18),1.41 (1.41 - 1.41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0.38),0.67 (0.38 - 0.8),21.94 (14.01 - 43.9),4.37 (4.23 - 4.51),1.77 (1.76 - 1.77),,,,,,,,0.02 (0 - 0.11),0.8 (0.75 - 0.83),12.49 (11.19 - 15.12),2.35 (2.25 - 2.47),1.76 (1.76 - 1.77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0.07),0.76 (0.56 - 0.86),26.12 (16.9 - 45.2),4.48 (4.29 - 4.61),2 (2 - 2.01),,,,,,,,0 (0 - 0.01),0.84 (0.79 - 0.88),14.45 (12.68 - 17.45),2.53 (2.42 - 2.67),2 (2 - 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.79 (0.67 - 0.86),27.64 (20.1 - 48.28),4.49 (4.19 - 4.72),2.18 (2.17 - 2.18),,,,,,,,0 (0 - 0),0.86 (0.82 - 0.89),16.09 (14.18 - 19.57),2.65 (2.27 - 2.76),2.17 (2.17 - 2.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.81 (0.68 - 0.89),29.34 (20.3 - 50.59),4.41 (4.2 - 4.76),2.31 (2.3 - 2.32),,,,,,,,0 (0 - 0),0.87 (0.84 - 0.9),17.29 (15.31 - 20.93),2.56 (2.33 - 2.61),2.31 (2.3 - 2.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.84 (0.7 - 0.91),30.32 (22.51 - 55.44),4.67 (4.09 - 4.94),2.41 (2.41 - 2.42),,,,,,,,0 (0 - 0),0.88 (0.85 - 0.91),18.25 (16.01 - 21.96),2.69 (2.6 - 2.94),2.41 (2.4 - 2.41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.83 (0.68 - 0.9),32.75 (23.86 - 58.34),4.64 (4.2 - 4.91),2.49 (2.48 - 2.49),,,,,,,,0 (0 - 0),0.88 (0.86 - 0.91),18.87 (16.67 - 22.62),2.92 (2.72 - 2.95),2.48 (2.47 - 2.49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.84 (0.71 - 0.9),32.53 (24.26 - 64.95),4.72 (4.07 - 4.78),2.55 (2.54 - 2.55),,,,,,,,0 (0 - 0),0.9 (0.87 - 0.92),19.31 (17.19 - 23.08),2.69 (2.4 - 2.74),2.54 (2.53 - 2.55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.84 (0.76 - 0.9),34.62 (24.81 - 58.32),4.76 (4.47 - 5.07),2.59 (2.58 - 2.6),,,,,,,,0 (0 - 0),0.9 (0.87 - 0.92),20.01 (17.51 - 24.02),2.59 (2.36 - 2.98),2.58 (2.58 - 2.59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0 (0 - 0),0.86 (0.78 - 0.92),34.33 (25.18 - 55.24),4.86 (4.7 - 5.19),2.63 (2.62 - 2.63),,,,,,,,0 (0 - 0),0.9 (0.88 - 0.92),19.96 (17.62 - 23.53),2.26 (2.22 - 2.32),2.62 (2.61 - 2.63),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
