"","anncov","hrcov","annint","hrint","partcut","gc.incid","gc.pia","gc.nnt","gc.asympt.tests.py","gc.asympt.tests","gctx","gctxpy","ct.incid","ct.pia","ct.nnt","ct.asympt.tests.py","ct.asympt.tests","cttx","cttxpy","sti.incid","sti.pia","sti.nnt","txperpy.sti","sti.asympt.tests.py","sti.asympt.tests","tx.sti","gc.incid.g1","gc.pia.g1","gc.nnt.g1","gc.asympt.tests.py.g1","gc.asympt.tests.g1","gctx.g1","gctxpy.g1","ct.incid.g1","ct.pia.g1","ct.nnt.g1","ct.asympt.tests.py.g1","ct.asympt.tests.g1","cttx.g1","cttxpy.g1","sti.incid.g1","sti.pia.g1","sti.nnt.g1","txperpy.sti.g1","sti.asympt.tests.py.g1","sti.asympt.tests.g1","tx.sti.g1","gc.incid.g2","gc.pia.g2","gc.nnt.g2","gc.asympt.tests.py.g2","gc.asympt.tests.g2","gctx.g2","gctxpy.g2","ct.incid.g2","ct.pia.g2","ct.nnt.g2","ct.asympt.tests.py.g2","ct.asympt.tests.g2","cttx.g2","cttxpy.g2","sti.incid.g2","sti.pia.g2","sti.nnt.g2","txperpy.sti.g2","sti.asympt.tests.py.g2","sti.asympt.tests.g2","tx.sti.g2"
"11",0.44,0.05,52,52,1,"1.63 (0.73 - 3.49)","0.24 (-0.27 - 0.54)","4.86 (-11.35 - 8.74)","0.97 (0.97 - 0.98)","108060 (107232 - 109029)","397 (293 - 526)","3.74 (3.62 - 3.86)","2 (1.33 - 2.69)","0.38 (0.24 - 0.5)","6.39 (4.44 - 9.98)","0.97 (0.96 - 0.97)","107384 (106558 - 108050)","611 (525 - 693)","1.72 (1.7 - 1.75)","1.55 (1.04 - 2.22)","0.32 (0.11 - 0.46)","7.46 (4.32 - 12.42)","2.38 (2.17 - 2.56)","1.94 (1.93 - 1.95)","215432 (213719 - 216928)","7059 (5626 - 8756)","1.92 (0.75 - 3.99)","0.43 (-0.15 - 1.33)","1.67 (-3.65 - 3.14)","1.85 (1.84 - 1.86)","82624 (81911 - 83438)","207 (144 - 267)","4.32 (4.18 - 4.44)","2.26 (1.44 - 3.11)","0.72 (0.39 - 1.08)","2.15 (1.52 - 3.43)","1.83 (1.83 - 1.84)","81926 (81371 - 82476)","332 (285 - 376)","2.35 (2.31 - 2.4)","2.3 (1.49 - 3.12)","0.57 (0.19 - 0.96)","2.65 (1.54 - 4.43)","3.04 (2.81 - 3.21)","1.48 (1.48 - 1.49)","164582 (163420 - 165959)","3708 (2956 - 4544)","1.8 (0.63 - 3.85)","-1 (-1 - -1)","-151.93 (-238.01 - -104.05)","7.89 (7.8 - 7.97)","25428 (25193 - 25651)","22 (15 - 27)","6.09 (4.93 - 6.69)","2.46 (1.54 - 3.28)","-1 (-1 - -1)","-102.77 (-131.35 - -86.71)","7.86 (7.78 - 7.95)","25383 (25137 - 25602)","64 (56 - 73)","6.38 (6.09 - 6.67)","2.2 (1.64 - 3.22)","-1 (-1 - -1)","-122.46 (-151.63 - -100.24)","6.7 (6.5 - 7)","0.46 (0.45 - 0.46)","50814 (50314 - 51254)","547 (454 - 656)"
"12",0.44,0.05,52,26,1,"0.96 (0.29 - 1.94)","0.37 (-0.01 - 0.62)","8.35 (-10.91 - 17.18)","1.13 (1.13 - 1.14)","125839 (124984 - 126738)","432 (320 - 537)","3.88 (3.74 - 3.98)","1.05 (0.58 - 1.45)","0.56 (0.4 - 0.64)","7.27 (5.85 - 10.2)","1.13 (1.13 - 1.13)","125048 (124317 - 125952)","602 (508 - 726)","1.87 (1.84 - 1.9)","0.84 (0.51 - 1.31)","0.48 (0.32 - 0.62)","10.6 (6.82 - 18.31)","2.51 (2.34 - 2.75)","2.26 (2.26 - 2.27)","250774 (249388 - 252677)","5682 (4562 - 6686)","1.13 (0.3 - 2.12)","0.67 (0.06 - 1.81)","0.59 (-0.02 - 1.6)","1.77 (1.76 - 1.78)","79070 (78493 - 79790)","202 (153 - 256)","4.22 (4.02 - 4.35)","1.16 (0.64 - 1.69)","1.41 (0.78 - 1.94)","0.69 (0.47 - 1.06)","1.76 (1.75 - 1.76)","78437 (77966 - 78952)","302 (259 - 363)","2.28 (2.23 - 2.33)","1.17 (0.72 - 1.92)","1.02 (0.6 - 1.72)","0.84 (0.49 - 1.42)","2.91 (2.72 - 3.16)","1.42 (1.42 - 1.43)","157374 (156527 - 158638)","2749 (2257 - 3297)","1.11 (0.31 - 2.01)","-1 (-1 - -1)","-357.23 (-506.29 - -238.54)","14.5 (14.4 - 14.6)","46688 (46383 - 47054)","32 (24 - 41)","9.06 (7.07 - 10.46)","1.24 (0.62 - 1.87)","-1 (-1 - -1)","-243.88 (-302.5 - -206.22)","14.49 (14.38 - 14.59)","46650 (46331 - 46985)","93 (84 - 119)","11.95 (11.06 - 12.64)","1.15 (0.8 - 1.83)","-1 (-1 - -1)","-278.19 (-355.12 - -234.04)","12.51 (11.99 - 12.97)","0.84 (0.84 - 0.85)","93362 (92714 - 94052)","685 (552 - 792)"
"13",0.44,0.05,52,26,2,"0.76 (0.12 - 1.53)","0.41 (0.13 - 0.67)","11.2 (5.7 - 21.42)","1.18 (1.17 - 1.18)","130620 (129738 - 131998)","420 (307 - 543)","3.87 (3.74 - 4)","0.82 (0.46 - 1.18)","0.56 (0.47 - 0.65)","7.93 (6.53 - 11.32)","1.17 (1.17 - 1.17)","129856 (128925 - 131151)","642 (530 - 728)","1.91 (1.88 - 1.95)","0.69 (0.35 - 1.04)","0.5 (0.39 - 0.61)","10.8 (7.78 - 15.74)","2.52 (2.28 - 2.78)","2.35 (2.34 - 2.36)","260516 (258832 - 262960)","5273 (4380 - 6539)","0.87 (0.1 - 1.74)","0.81 (0.2 - 2.2)","0.93 (0.21 - 1.83)","1.76 (1.75 - 1.77)","79466 (78826 - 80201)","210 (156 - 263)","4.25 (4.06 - 4.38)","0.92 (0.53 - 1.37)","1.42 (0.98 - 1.94)","0.73 (0.52 - 1.17)","1.75 (1.74 - 1.75)","78674 (78158 - 79444)","324 (268 - 363)","2.24 (2.19 - 2.32)","0.92 (0.52 - 1.56)","1.2 (0.74 - 1.7)","0.94 (0.55 - 1.46)","2.86 (2.64 - 3.14)","1.43 (1.42 - 1.43)","158128 (156948 - 159656)","2618 (2196 - 3201)","0.72 (0 - 1.64)","-1 (-1 - -1)","-637.23 (-1077.24 - -437.18)","24.18 (24.02 - 24.36)","51308 (50788 - 51794)","30 (22 - 39)","9.69 (7.12 - 11.97)","0.95 (0.47 - 1.38)","-1 (-1 - -1)","-440.21 (-527.42 - -377.97)","24.15 (24 - 24.36)","51261 (50739 - 51759)","100 (88 - 117)","15.91 (14.54 - 16.9)","0.92 (0.55 - 1.49)","-1 (-1 - -1)","-512.41 (-623.1 - -424.71)","16.75 (15.83 - 17.59)","0.93 (0.92 - 0.93)","102564 (101543 - 103562)","641 (542 - 749)"
"14",0.44,0.05,52,26,3,"0.87 (0.44 - 1.97)","0.42 (0 - 0.62)","8.76 (0.82 - 14.51)","1.11 (1.11 - 1.12)","123696 (122734 - 124451)","412 (301 - 529)","3.86 (3.74 - 3.94)","1.09 (0.71 - 1.72)","0.52 (0.4 - 0.61)","7.16 (5.7 - 10.89)","1.11 (1.11 - 1.11)","123030 (121994 - 123780)","588 (513 - 700)","1.87 (1.83 - 1.91)","0.84 (0.61 - 1.25)","0.46 (0.31 - 0.58)","9.96 (6.9 - 16.69)","2.49 (2.29 - 2.7)","2.22 (2.22 - 2.23)","246828 (244755 - 248051)","5723 (4666 - 7050)","1.06 (0.49 - 2.23)","0.82 (0.02 - 1.72)","0.93 (0.13 - 1.76)","1.76 (1.75 - 1.76)","79904 (79355 - 80434)","206 (147 - 262)","4.19 (4.01 - 4.36)","1.21 (0.79 - 1.89)","1.18 (0.75 - 1.71)","0.98 (0.68 - 1.53)","1.75 (1.74 - 1.75)","79220 (78837 - 79671)","316 (266 - 367)","2.28 (2.22 - 2.34)","1.23 (0.81 - 1.77)","0.97 (0.55 - 1.55)","1.17 (0.7 - 1.85)","2.91 (2.73 - 3.1)","1.44 (1.43 - 1.44)","159106 (158284 - 160149)","2896 (2363 - 3537)","1.06 (0.36 - 1.87)","-1 (-1 - -1)","-749.31 (-1172.52 - -517.78)","31.97 (31.76 - 32.25)","43700 (43145 - 44219)","23 (18 - 31)","10.07 (7.17 - 12.12)","1.1 (0.39 - 1.78)","-1 (-1 - -1)","-568.14 (-715.71 - -477.53)","31.96 (31.73 - 32.23)","43672 (43106 - 44190)","81 (70 - 95)","17.71 (15.91 - 19.24)","1.12 (0.56 - 1.67)","-1 (-1 - -1)","-633.71 (-778.54 - -536.7)","19.4 (18.18 - 20.22)","0.79 (0.78 - 0.79)","87357 (86250 - 88416)","588 (484 - 661)"
"15",0.44,0.05,52,26,4,"1.33 (0.61 - 2.57)","0.34 (-0.03 - 0.62)","6.48 (-6.4 - 14.68)","1.03 (1.03 - 1.04)","114434 (113364 - 115334)","378 (293 - 524)","3.82 (3.72 - 3.88)","1.44 (1.02 - 2.13)","0.47 (0.31 - 0.56)","6.42 (4.92 - 9.79)","1.02 (1.02 - 1.03)","113606 (112721 - 114492)","612 (516 - 685)","1.78 (1.74 - 1.81)","1.15 (0.76 - 1.71)","0.42 (0.22 - 0.53)","8.31 (5.63 - 13.35)","2.41 (2.21 - 2.59)","2.06 (2.05 - 2.06)","228213 (226224 - 229754)","6214 (5168 - 7602)","1.5 (0.67 - 2.96)","0.56 (0 - 1.68)","1.02 (0.11 - 2.49)","1.76 (1.75 - 1.77)","80382 (79773 - 80874)","186 (142 - 258)","4.24 (4.07 - 4.36)","1.69 (1.17 - 2.48)","0.97 (0.45 - 1.31)","1.16 (0.86 - 1.9)","1.74 (1.73 - 1.75)","79582 (79027 - 79980)","320 (273 - 370)","2.27 (2.22 - 2.31)","1.68 (1.11 - 2.45)","0.8 (0.32 - 1.19)","1.42 (0.88 - 2.27)","2.9 (2.72 - 3.1)","1.44 (1.44 - 1.45)","160006 (158838 - 160722)","3252 (2671 - 3955)","1.14 (0.4 - 2.45)","-1 (-1 - -1)","-831.43 (-1194.66 - -584.75)","37.82 (37.58 - 38.15)","34118 (33571 - 34550)","16 (12 - 22)","9.48 (7.02 - 11.43)","1.64 (0.58 - 2.72)","-1 (-1 - -1)","-602.65 (-741.97 - -514.02)","37.81 (37.57 - 38.12)","34086 (33558 - 34528)","66 (59 - 77)","18.86 (17.01 - 20.67)","1.66 (0.85 - 2.35)","-1 (-1 - -1)","-698.9 (-867.47 - -558.81)","20.82 (19.05 - 22.35)","0.61 (0.61 - 0.62)","68205 (67128 - 69074)","519 (426 - 611)"
"16",0.44,0.05,52,26,5,"1.93 (0.81 - 3.05)","0.24 (-0.32 - 0.54)","4.56 (-6.54 - 9.2)","0.95 (0.95 - 0.96)","105734 (104742 - 106542)","431 (312 - 551)","3.77 (3.65 - 3.86)","2.24 (1.61 - 2.89)","0.38 (0.23 - 0.49)","5.42 (3.94 - 8.62)","0.94 (0.94 - 0.95)","104745 (103801 - 105533)","574 (489 - 678)","1.71 (1.69 - 1.73)","1.6 (1.16 - 2.28)","0.32 (0.14 - 0.44)","6.75 (4.2 - 12.95)","2.35 (2.17 - 2.55)","1.9 (1.89 - 1.91)","210670 (208684 - 212084)","7066 (5966 - 8494)","2.3 (0.89 - 3.56)","0.37 (-0.23 - 1.19)","0.71 (-1.06 - 1.81)","1.74 (1.73 - 1.75)","80192 (79642 - 80812)","220 (159 - 274)","4.24 (4.13 - 4.35)","2.58 (1.84 - 3.43)","0.63 (0.33 - 1.02)","1.3 (0.8 - 2.18)","1.73 (1.72 - 1.73)","79407 (78791 - 79910)","318 (273 - 382)","2.27 (2.24 - 2.33)","2.37 (1.61 - 3.32)","0.53 (0.19 - 0.83)","1.36 (0.63 - 2.9)","2.92 (2.75 - 3.11)","1.44 (1.43 - 1.44)","159638 (158457 - 160490)","3792 (3200 - 4434)","1.7 (0.59 - 3.31)","-1 (-1 - -1)","-817.74 (-1248.74 - -561.47)","42.33 (42.07 - 42.63)","25454 (24924 - 25800)","14 (11 - 17)","8.19 (6.3 - 10.54)","2.46 (0.87 - 3.69)","-1 (-1 - -1)","-597.88 (-704.91 - -498.95)","42.28 (42.03 - 42.61)","25446 (24910 - 25781)","48 (41 - 57)","18.44 (16.68 - 20.07)","2.16 (1.28 - 3.18)","-1 (-1 - -1)","-664.08 (-826.88 - -563.53)","20.91 (19.36 - 22.38)","0.46 (0.45 - 0.46)","50900 (49841 - 51582)","428 (380 - 496)"
"17",0.44,0.05,52,26,6,"2.14 (0.98 - 3.3)","0.23 (-0.42 - 0.51)","2.81 (-3.63 - 6.15)","0.88 (0.88 - 0.88)","97680 (96919 - 98554)","440 (338 - 554)","3.72 (3.64 - 3.79)","2.8 (1.98 - 3.52)","0.26 (0.11 - 0.4)","5.03 (2.62 - 8.39)","0.87 (0.87 - 0.88)","96674 (96002 - 97617)","567 (481 - 676)","1.64 (1.61 - 1.66)","2.04 (1.39 - 2.61)","0.27 (0.02 - 0.41)","4.56 (2.54 - 8.25)","2.23 (2.03 - 2.4)","1.75 (1.75 - 1.76)","194483 (192805 - 196202)","7930 (6272 - 9296)","2.46 (1.1 - 3.87)","0.34 (-0.26 - 1.1)","0.54 (-0.71 - 1.48)","1.73 (1.72 - 1.74)","79707 (79108 - 80333)","221 (172 - 286)","4.22 (4.13 - 4.31)","3.4 (2.28 - 4.07)","0.38 (0.16 - 0.72)","1.2 (0.54 - 2.13)","1.71 (1.7 - 1.71)","78780 (78179 - 79354)","324 (282 - 386)","2.25 (2.22 - 2.29)","2.95 (2.13 - 3.77)","0.38 (0.04 - 0.73)","1.02 (0.37 - 2.57)","2.86 (2.68 - 3.03)","1.43 (1.42 - 1.43)","158500 (157445 - 159558)","4270 (3467 - 5128)","2.47 (0 - 3.95)","-1 (-1 - -1)","-843.99 (-1299.82 - -619.37)","45.85 (45.49 - 46.2)","18010 (17680 - 18413)","10 (7 - 13)","6.65 (4.49 - 8.79)","2.63 (1.29 - 4.97)","-1 (-1 - -1)","-550.69 (-705.35 - -455.8)","45.84 (45.49 - 46.19)","17990 (17676 - 18395)","35 (28 - 40)","17.12 (15.3 - 19.05)","2.52 (1.77 - 4.04)","-1 (-1 - -1)","-636.9 (-815.05 - -558.66)","19.73 (17.72 - 22.08)","0.33 (0.32 - 0.33)","35998 (35356 - 36803)","346 (297 - 411)"
"18",0.44,0.05,52,26,7,"2.68 (1.41 - 4.34)","0.08 (-0.52 - 0.46)","1.61 (-3.78 - 3.97)","0.83 (0.82 - 0.83)","91570 (91038 - 92221)","418 (314 - 552)","3.68 (3.59 - 3.76)","3.64 (2.86 - 4.44)","0.17 (-0.01 - 0.32)","3.42 (-2.39 - 6.52)","0.82 (0.81 - 0.82)","90526 (90058 - 91083)","581 (483 - 656)","1.58 (1.56 - 1.6)","2.52 (2.05 - 3.31)","0.16 (-0.14 - 0.3)","3.65 (-4.38 - 6.26)","2.17 (2.02 - 2.38)","1.64 (1.64 - 1.65)","182044 (181254 - 183175)","8708 (7344 - 10322)","3.14 (1.75 - 5.12)","0.1 (-0.34 - 0.91)","0.28 (-0.84 - 1.06)","1.71 (1.7 - 1.72)","79122 (78546 - 79687)","210 (168 - 274)","4.26 (4.12 - 4.34)","4.22 (3.32 - 5.24)","0.24 (0 - 0.53)","0.9 (-0.5 - 1.71)","1.69 (1.68 - 1.7)","78092 (77687 - 78540)","336 (288 - 386)","2.25 (2.22 - 2.28)","3.74 (2.91 - 4.78)","0.22 (-0.1 - 0.46)","0.69 (-1.15 - 1.79)","2.87 (2.71 - 3.05)","1.42 (1.41 - 1.42)","157208 (156242 - 158218)","4714 (4046 - 5621)","2.15 (0 - 4.3)","-1 (-1 - -1)","-819.49 (-1241.88 - -514.67)","48.34 (47.96 - 48.78)","12427 (12202 - 12715)","7 (5 - 9)","5.51 (3.87 - 7.34)","3.98 (1.95 - 6.05)","-1 (-1 - -1)","-531.57 (-630 - -435.54)","48.32 (47.96 - 48.77)","12424 (12191 - 12704)","24 (20 - 29)","14.8 (13.25 - 16.33)","3.85 (2.02 - 5.01)","-1 (-1 - -1)","-619.77 (-725.05 - -525.4)","17.85 (16.15 - 19.29)","0.22 (0.22 - 0.23)","24854 (24390 - 25420)","271 (236 - 313)"
"19",0.44,0.05,52,26,8,"2.88 (1.5 - 4.38)","0.03 (-0.49 - 0.42)","1.11 (-2.43 - 3.43)","0.78 (0.78 - 0.79)","86815 (86052 - 87421)","412 (306 - 532)","3.63 (3.54 - 3.72)","3.97 (3.16 - 4.71)","0.15 (-0.08 - 0.31)","1.91 (-4.88 - 4.01)","0.77 (0.77 - 0.78)","85751 (85092 - 86303)","568 (464 - 650)","1.54 (1.52 - 1.56)","2.83 (2.15 - 3.39)","0.08 (-0.12 - 0.29)","1.59 (-5.08 - 4.12)","2.13 (1.97 - 2.32)","1.56 (1.55 - 1.56)","172721 (171207 - 173580)","8957 (7299 - 10221)","3.35 (1.7 - 5.2)","0.05 (-0.33 - 0.71)","0.08 (-0.69 - 0.77)","1.7 (1.69 - 1.71)","78556 (78034 - 79038)","220 (163 - 270)","4.24 (4.11 - 4.35)","4.61 (3.77 - 5.6)","0.19 (-0.05 - 0.43)","0.43 (-1.03 - 1.32)","1.68 (1.67 - 1.68)","77488 (76943 - 78010)","332 (282 - 384)","2.23 (2.2 - 2.28)","4.19 (3.05 - 5.05)","0.11 (-0.1 - 0.42)","0.12 (-1.2 - 1.24)","2.85 (2.68 - 3.04)","1.41 (1.4 - 1.41)","156059 (155100 - 156885)","4964 (4085 - 5696)","3.03 (0 - 6.06)","-1 (-1 - -1)","-798.68 (-1179.57 - -545.1)","50.37 (49.91 - 50.75)","8248 (8023 - 8446)","4 (3 - 5)","3.93 (2.43 - 4.91)","3.12 (0 - 5.75)","-1 (-1 - -1)","-548.7 (-688.1 - -442.92)","50.32 (49.88 - 50.73)","8246 (8019 - 8448)","16 (13 - 20)","11.16 (9.62 - 13.07)","3.02 (1.59 - 5.02)","-1 (-1 - -1)","-613.44 (-802.04 - -527.23)","14.25 (12.1 - 15.46)","0.15 (0.15 - 0.15)","16494 (16042 - 16895)","192 (154 - 211)"
"20",0.44,0.05,52,26,9,"2.87 (1.65 - 4.28)","0.06 (-0.81 - 0.38)","0.44 (-1.56 - 1.6)","0.75 (0.75 - 0.76)","83606 (83080 - 84051)","414 (282 - 532)","3.61 (3.53 - 3.68)","4.41 (3.49 - 5.38)","0.1 (-0.13 - 0.26)","1.35 (-1.72 - 3.17)","0.74 (0.74 - 0.75)","82380 (82047 - 82839)","562 (487 - 636)","1.5 (1.48 - 1.53)","2.92 (2.29 - 3.67)","0.07 (-0.19 - 0.27)","1.17 (-2.17 - 2.89)","2.08 (1.94 - 2.19)","1.49 (1.49 - 1.5)","166032 (165170 - 166904)","8994 (7393 - 10688)","3.22 (1.96 - 5.22)","0.05 (-0.43 - 0.6)","-0.01 (-0.47 - 0.57)","1.69 (1.68 - 1.7)","78266 (77611 - 78646)","215 (154 - 276)","4.16 (4.06 - 4.27)","5.18 (4.14 - 6.42)","0.09 (-0.11 - 0.36)","0.25 (-0.64 - 1.13)","1.66 (1.66 - 1.67)","77058 (76750 - 77499)","330 (294 - 379)","2.24 (2.2 - 2.26)","4.25 (3.34 - 5.37)","0.07 (-0.17 - 0.4)","0.04 (-0.89 - 0.75)","2.82 (2.69 - 2.96)","1.4 (1.39 - 1.41)","155314 (154498 - 156090)","5001 (4210 - 5993)","0 (0 - 5.26)","-1 (-1 - -1)","-881.5 (-1494.52 - -567.31)","51.54 (51.22 - 52.08)","5312 (5187 - 5476)","3 (1 - 4)","2.64 (1.75 - 3.51)","4.35 (0 - 7.22)","-1 (-1 - -1)","-494.05 (-657.06 - -408.38)","51.54 (51.2 - 52.08)","5313 (5184 - 5468)","10 (8 - 13)","8.48 (7.55 - 9.64)","3.23 (0 - 6.61)","-1 (-1 - -1)","-625.84 (-790.34 - -503.11)","10.32 (9.09 - 12.06)","0.1 (0.09 - 0.1)","10624 (10371 - 10946)","123 (107 - 147)"
"21",0.44,0.05,52,26,10,"3.16 (1.91 - 4.9)","-0.08 (-0.77 - 0.31)","-0.21 (-1.18 - 1)","0.73 (0.73 - 0.74)","81418 (80796 - 82178)","438 (339 - 564)","3.58 (3.51 - 3.66)","5.09 (3.67 - 6.46)","0.01 (-0.19 - 0.24)","0.35 (-1.85 - 1.3)","0.72 (0.72 - 0.72)","80168 (79647 - 80695)","560 (466 - 640)","1.49 (1.47 - 1.51)","3.4 (2.58 - 4.18)","-0.04 (-0.22 - 0.22)","-0.61 (-2.31 - 1.21)","2.08 (1.92 - 2.23)","1.46 (1.45 - 1.46)","161668 (160493 - 162770)","9903 (8093 - 11349)","3.56 (2.25 - 5.67)","-0.05 (-0.42 - 0.48)","0.07 (-0.6 - 0.54)","1.68 (1.67 - 1.69)","78063 (77448 - 78795)","234 (180 - 292)","4.16 (4.04 - 4.27)","6.07 (4.15 - 7.64)","0 (-0.15 - 0.3)","-0.16 (-0.71 - 0.41)","1.65 (1.65 - 1.66)","76732 (76220 - 77330)","335 (288 - 388)","2.22 (2.19 - 2.25)","4.97 (3.97 - 6.36)","-0.02 (-0.18 - 0.29)","-0.15 (-0.88 - 0.6)","2.81 (2.68 - 3.01)","1.39 (1.39 - 1.4)","154804 (153779 - 156022)","5606 (4659 - 6428)","0 (0 - 7.85)","-1 (-1 - -1)","-708.5 (-1301.62 - -448.78)","52.44 (51.92 - 53.06)","3360 (3269 - 3464)","2 (1 - 3)","1.7 (1.12 - 2.37)","7.69 (0 - 10)","-1 (-1 - -1)","-501.71 (-690.55 - -375.5)","52.42 (51.92 - 53.02)","3356 (3264 - 3462)","6 (4 - 9)","6.04 (4.79 - 7.24)","4.35 (0 - 8.25)","-1 (-1 - -1)","-558.96 (-802.66 - -468.04)","7.71 (6.23 - 8.65)","0.06 (0.06 - 0.06)","6720 (6533 - 6927)","86 (68 - 101)"
