"","annint","hrint","anncov","hrcov","QALY","hivtestcosts","hivhealthcosts","stisympttestcosts","gc.asympttestcosts","ct.asympttestcosts","syph.asympttestcosts","rect.asympttestcosts","ureth.asympttestcosts","stitxcosts","stiasympttestcosts","overallcosts","incremcost","incremover","incrembasescreen","incremQALY","incremQALYover","incremQALYbasescreen","costpqaly","costpincremqaly","costpoverqaly","costpoverqalybasescreen"
"11",43,26,0.4,0,59784525.7493269,37667859.25,369960619352.439,3080293.02,3516298.36,3513219.01,1612200.06,3566708.46,3461599.98,372985.175,8640508.5,370010380998.384,-875761.689999999,8640508.5,-75175863.58,-2286.50024039298,22112.0200961456,-4488.81134615839,6189.0660896068,383.014038017106,390.760702207672,16747.3876228586
"12",47,26,0.4,0,59771772.4681731,37661675.625,370017878499.793,3095101.52,3215959.09,3212925.36,1474288.5,3262537.11,3163404.85,389775.725,7900230.46,370066925283.123,-740278.04,7900230.46,-75916141.62,-12753.2811538652,9358.73894228041,-17242.0925000235,6191.33263080284,58.0460848521043,844.155447515344,4402.95408575823
"13",52,26,0.4,0,59768513.6579808,37664427.5,369996926361.429,3096332.75,2905264.08,2906039.62,1335714.72,2947166.05,2859644.08,386131.325,7142524.85,370045215777.854,-757705.61,7142524.85,-76673847.23,-3258.81019229442,6099.92874998599,-20500.902692318,6191.3069797151,232.509893270748,1170.91938983982,3740.02298243828
"14",52,4,0,0.4,59788334.7491827,37686345.375,369378568924.476,2968424.32,32490928.96,32423046.4,14634875.22,32898612.09,32019240.97,277542.9,79552728.28,369499053965.351,72410203.43,79552728.28,-4263643.79999998,19821.0912019387,25921.0199519247,-679.811490379274,6180.11950852005,3653.18955915594,3069.043132853,6271.80308120601
"15",52,7,0,0.4,59788637.4650481,37691363.5,369461394978.285,2978964.8,20094150.16,20061623.1,9083603.82,20356784.5,19798760.66,285051.25,49239148.98,369551589506.815,-30313579.3,49239148.98,-34577223.1,302.715865366161,26223.7358172908,-377.095625013113,6180.9669056742,-100138.720061247,1877.65577425981,91693.514340819
"16",52,9,0,0.4,59801694.4096635,37692496.625,369568510353.677,2984098.8,16028883.53,15996402.09,7247980.92,16247220.85,15774780.13,286065.725,39269981.9,369648742996.727,-9969167.08000001,39269981.9,-44546390.18,13056.9446153939,39280.6804326847,12679.8489903808,6181.24196388982,-763.514541391755,999.727638814632,-3513.16409318391
"17",52,11,0,0.4,59784379.0543269,37685762.625,369425665711.244,2991737.09,13297294.79,13264927.4,6028681.08,13477402.55,13085184.6,292952.375,32591268.23,369499227431.564,-6678713.67,32591268.23,-51225103.85,-17315.355336532,21965.3250961527,-4635.50634615123,6180.53132400681,385.710459889277,1483.75988460596,11050.5951291667
"18",52,13,0,0.4,59766441.3207692,37682395.625,369489959823.47,2999074.55,11351715.84,11333399.41,5144074.02,11516312.8,11175964.79,299576.9,27836351.61,369558777222.155,-4754916.62,27836351.61,-55980020.47,-17937.7335577086,4027.59153844416,-22573.2399038598,6183.38266517687,265.079008153548,6911.41376783035,2479.92847763196
"19",52,15,0,0.4,59786273.7022115,37681618.625,369654044255.843,3007193.89,9901091.08,9887382.27,4488968.64,10023056.15,9751799.63,307268.425,24263824.42,369719304161.203,-3572527.19,24263824.42,-59552547.66,19832.3814423084,23859.9729807526,-2740.85846155137,6184.01651861984,-180.136066885983,1016.92589675492,21727.6990021193
"20",52,17,0,0.4,59789125.9241827,37680517.875,369692097979.936,3017729.05,8759154.05,8749208.89,3976036.8,8887118.15,8620492.06,318215.25,21483647.01,369754598089.121,-2780177.41,21483647.01,-62332725.07,2852.22197115421,26712.1949519068,111.363509602845,6184.31181880797,-974.740899592377,804.263634968209,-559723.066310472
"21",52,19,0,0.4,59791795.5438462,37680550.25,369736793674.766,3023418.36,7852137.21,7844860.82,3565613.22,7964339.6,7730810.82,324861.95,19260763.64,369797083268.966,-2222883.37,19260763.64,-64555608.44,2669.61966347694,29381.8146153837,2780.98317307979,6184.74624997318,-832.659198765749,655.533495535549,-23213.2323075181
"22",52,21,0,0.4,59771853.4815385,37674852.25,369717823857.632,3029126.18,7113572.22,7103353.34,3234808.86,7210993.73,7001255.78,327645.275,17447058.37,369776302539.707,-1813705.27,17447058.37,-66369313.71,-19942.062307708,9439.75230767578,-17161.0791346282,6186.4620385901,90.9487314809447,1848.25383138636,3867.43241432165
"23",52,23,0,0.4,59764940.42,37672035.625,369687229148.33,3031298.45,6500895.62,6494143.86,2956642.5,6595100.92,6394646.64,326941.525,15946390.06,369744205813.99,-1500668.31,15946390.06,-67869982.02,-6913.06153846532,2526.69076921046,-24074.1406730935,6186.64058251545,217.07723873859,6311.17596752172,2819.20683864139
"24",52,26,0,0.4,59771650.4087981,37678672.5,369721390053.453,3042063.24,5757426.48,5749283.31,2618706.54,5835482.3,5670086.99,338982.975,14124275.83,369776574047.998,-1822114.23,14124275.83,-69692096.25,6709.98879809678,9236.67956730723,-17364.1518749967,6186.4875993715,-271.552499538722,1529.15078704172,4013.56177668269
