"","annint","hrint","anncov","hrcov","QALY","hivtestcosts","hivhealthcosts","stisympttestcosts","gc.asympttestcosts","ct.asympttestcosts","syph.asympttestcosts","rect.asympttestcosts","ureth.asympttestcosts","stitxcosts","stiasympttestcosts","overallcosts","incremcost","incremover","incrembasescreen","incremQALY","incremQALYover","incremQALYbasescreen","costpqaly","costpincremqaly","costpoverqaly","costpoverqalybasescreen"
"1",52,26,0,0,59762413.7292308,37644970.125,370539452297.918,3266849.09,0,3786.46,0,0,0,525139.95,0,370580889257.083,369776574047.998,369776574047.998,0,59771650.4087981,59771650.4087981,0,6186.4875993715,0,0,0
"2",4,26,0.4,0,59789014.5606731,37694471.5,369226403221.728,2938225.19,34403250.93,34329779.92,15091484.4,34688125.02,34036762.66,242733.925,83816372.08,369351095024.423,83816372.08,83816372.08,0,26600.831442304,26600.831442304,0,6177.57455509842,3150.89294339517,3150.89294339517,0
"3",9,26,0.4,0,59782443.6105769,37684661.875,369444838312.943,2972764.27,16506593.36,16472925.8,7360914.9,16696281.32,16283420.32,275439,40340616.54,369526111794.628,-43475755.54,40340616.54,-43475755.54,-6570.95009614527,20029.8813461587,-6570.95009614527,6181.18112069359,6616.35758967402,2014.02174295638,6616.35758967402
"4",13,26,0.4,0,59782523.7300481,37689356.25,369583285556.039,2994587.32,11569026.71,11555203.85,5209650.78,11715695.01,11407851.25,294536.275,28333197.04,369652597232.924,-12007419.5,28333197.04,-55483175.04,80.119471155107,20110.0008173138,-6490.83062499017,6183.28859621441,-149868.931071128,1408.91078510581,8547.93141980716
"5",17,26,0.4,0,59771731.0561539,37677312.75,369598880810.508,3010133.32,8878039.77,8867090.97,4018249.08,8996355.24,8750509.06,308662.875,21765113.38,369661642032.833,-6568083.66,21765113.38,-62051258.7,-10792.6738942266,9317.32692308724,-17283.5045192167,6184.55640318575,608.568712848216,2335.98257951737,3590.20120201942
"6",21,26,0.4,0,59775920.3530769,37681392,369714968457.246,3023651.78,7193886.23,7185993.97,3266663.34,7285536.81,7086291.46,321395.025,17638491.61,369773633387.661,-4126621.77,17638491.61,-66177880.47,4189.29692307115,13506.6238461584,-13094.2075961456,6185.99648827703,-985.039219176378,1305.914180398,5053.98131074997
"7",26,26,0.4,0,59777328.7248558,37672229.875,369666538178.581,3041675.47,5814839.25,5809821.05,2647640.46,5896749.96,5723758.92,338087.05,14268149.34,369721858320.316,-3370342.27,14268149.34,-69548222.74,1408.37177883834,14914.9956249967,-11685.8358173072,6184.98461217762,-2393.07711262146,956.631144838377,5951.49750752069
"8",30,26,0.4,0,59777777.6091827,37673363,369858444590.863,3054219.44,5040736.28,5037656.93,2297546.82,5110854.22,4961608.39,351675.65,12370009.43,369911893858.383,-1898139.91,12370009.43,-71446362.65,448.884326912463,15363.8799519092,-11236.9514903948,6188.1172009573,-4228.57247669099,805.135777467647,6358.16241718865
"9",34,26,0.4,0,59777024.2478365,37676438.625,369813060909.958,3063781.64,4445440.9,4444619.74,2031657,4509172.04,4375870.4,359196.1,10916699.44,369865077025.763,-1453309.99,10916699.44,-72899672.64,-753.361346147954,14610.5186057612,-11990.3128365427,6187.41199783208,1929.10081918987,747.180831465854,6079.8807865817
"10",39,26,0.4,0,59786812.2495673,37675694,369948198076.291,3069636.96,3872887.09,3873366.1,1775445.78,3930185.81,3810638.6,364255.1,9516270.19,369998823932.541,-1400429.25,9516270.19,-74300101.89,9788.00173077732,24398.5203365386,-2202.3111057654,6188.63608897661,-143.076113850338,390.034725825102,33737.3324302324
