"","anncov","hrcov","hiv.incid.low","hiv.incid","hiv.incid.high","hiv.hr.low","hiv.hr","hiv.hr.high","hiv.pia.low","hiv.pia","hiv.pia.high","hiv.nnt.low","hiv.nnt","hiv.nnt.high","gc.incid.low","gc.incid","gc.incid.high","gc.hr.low","gc.hr","gc.hr.high","gc.pia.low","gc.pia","gc.pia.high","gc.nnt.low","gc.nnt","gc.nnt.high","ct.incid.low","ct.incid","ct.incid.high","ct.hr.low","ct.hr","ct.hr.high","ct.pia.low","ct.pia","ct.pia.high","ct.nnt.low","ct.nnt","ct.nnt.high","syph.incid.low","syph.incid","syph.incid.high","syph.hr.low","syph.hr","syph.hr.high","syph.pia.low","syph.pia","syph.pia.high","syph.nnt.low","syph.nnt","syph.nnt.high"
"1",0,0.4,3.23530157413396,3.4085311516652,3.60734672047168,0.000869394055637402,0.000916400758934404,0.000980999486961103,0.0279476365923738,0.0563488347812239,0.0881321276990129,1229.37510442774,1822.2,2962.15020292208,0.187755209005197,0.593476205738583,1.07766133738923,0.0483383201194036,0.138472555264608,0.303912549683629,0.386802565990317,0.510903786551012,0.623811050378802,23.0071257188292,26.4119448618358,32.3957853384115,0.627518344099907,0.915205785555809,1.17452861314764,0.0926367432641069,0.136828952580864,0.187880163065402,0.52755531991757,0.577197686066772,0.624626636201015,14.887123700203,15.8958825823445,17.1758375301097,13.4923589963989,14.4984973535314,15.2381107622279,0.82177229295139,0.896498415346347,0.979283744706667,-0.00150944060291277,0.0467660823429518,0.0882251964350288,48.4189294595766,81.3545488271473,141.648582701956
"2",0.1,0.4,3.24423336707629,3.4006789606054,3.55534418785093,0.000867081219683784,0.00091108298127783,0.000966747697025172,0.0310646853695509,0.0561917874476495,0.091275808440504,1232.84092866552,1961.8926858907,3108.28667953668,0.171665213274679,0.505135160523417,1.01702058409952,0.0452485818884986,0.127898929223933,0.307821446142045,0.424258452796682,0.549263066855451,0.644970591679901,23.1623050958744,26.4633050280942,32.1065517880678,0.559762935528329,0.785566046658415,1.07694880364935,0.0828750047428999,0.120180641365167,0.166614686254307,0.5664356816821,0.610982440908531,0.654863457096681,14.8552109394465,15.7058885865487,16.7902001661925,13.5375840244225,14.4220556879103,15.3161305243421,0.812256556299673,0.900793979588244,0.976860292290572,0.00426390766540607,0.0524988847020697,0.0939645627002187,56.5612027796048,84.5114106895357,141.423138957237
"3",0.2,0.4,3.21354691308042,3.37393115041998,3.59121432726486,0.000865774917588555,0.000911777761364623,0.000966732114751746,0.0385585356121419,0.0611345031816153,0.0914837901292112,1271.41882591093,1918.33448722279,2828.53125,0.167925343145287,0.4524380201035,0.871030072946389,0.0396485255011483,0.120664663355436,0.239051249235034,0.454900188473896,0.577315789872066,0.674604567449711,23.2135842693857,26.9961227954643,30.7138807034159,0.492012110271006,0.675165258227564,0.910718867772003,0.0706325233527713,0.104627658061397,0.139355916128482,0.583740246368193,0.626008567447189,0.670802066403603,15.2730660818293,16.0138009180338,16.9909301406497,13.3647933555335,14.2085946110282,15.1688271515385,0.8028157172835,0.887872840157566,0.972929341780742,0.00855560556059435,0.0495515130075362,0.0841876277724483,50.8686647734202,82.0695516289705,130.382598272286
"4",0.3,0.4,3.17537844704948,3.38406829667546,3.58362529046556,0.000847892328183147,0.000906856679386769,0.000969214004342379,0.0367363980914861,0.0658315076867396,0.0938113487533236,1384.06592396574,1896.35427135678,3203.01966536289,0.0622980056902701,0.334021206625105,0.691909356115054,0.0138010614767775,0.0854306650224997,0.209195294433796,0.482348330150314,0.610777056383311,0.694508399379713,23.2747774512359,26.520227478888,31.2532575380764,0.368971886788133,0.557555166724129,0.756832649941468,0.0548577591535387,0.0850828908669179,0.120017981312825,0.610284917762166,0.659086694019167,0.700622440307321,15.2043806545122,15.898493746156,16.8411331509521,13.1570107002783,14.0169950320195,14.9417233838738,0.788236468755646,0.870353595627417,0.957355931581857,0.016826988096881,0.0559721379026219,0.103294596194843,61.6187535708309,88.5257062380668,142.850623418115
"5",0.4,0.4,3.18855205037109,3.37576137888634,3.57889521935663,0.000859177912760285,0.000908407633492182,0.000958198165265157,0.0384180284807517,0.0659144991241188,0.0983417386229745,1388.69378860885,2118.97518427518,2936.84601558641,0.0395486207776264,0.330486914416317,0.73790562410438,0.0132181250084558,0.0805684391045992,0.199704309292096,0.499681428679731,0.599521088732706,0.698670041028667,24.6065298184752,27.4884151762234,31.8932912416215,0.261045855113296,0.418489172502395,0.605501616566042,0.0391366568745959,0.0666795448295991,0.0952679697852567,0.642619519379837,0.680460911396266,0.719795172389888,15.5234784395386,16.0732546593078,16.7692309315592,13.3925686740486,14.206972443854,15.0491583477139,0.814503497793791,0.886656800651612,0.960056171679911,0.00781128003260177,0.0549893743192936,0.0968204681499469,62.6170263817172,92.9261597792359,150.007795165935
"6",0.5,0.4,3.19115419732763,3.38174522124107,3.56826823918116,0.000855191785518731,0.00090918894583468,0.000969466772032072,0.0415320926275907,0.0662637755455923,0.0955388370014813,1473.47000307267,2083.19261492476,3161.44825308279,0.0229391243011669,0.227315973522445,0.595093421375523,0.00636633301140338,0.0611123417352478,0.165889660110846,0.533700255938293,0.649827203417645,0.714057384508269,24.7809276343153,27.3327187924408,30.4814855390329,0.199982469502387,0.34046609433651,0.550714926654986,0.0298588694599988,0.0527745588950855,0.0857917216450586,0.67369277283055,0.705942469299588,0.739273044776871,15.6581560815445,16.1393257834234,16.7989212594648,13.282432454253,14.0773399339659,14.9613210460486,0.795887599781386,0.871436692011274,0.955385937010705,0.0175595013486521,0.0594611269862179,0.0919879100940192,61.5094745568198,94.4362965172006,136.560894930266
"7",0.6,0.4,3.19154164700245,3.36986488440979,3.54631585382297,0.000857472041900813,0.000900549302298418,0.000964248549688431,0.0471618473540722,0.0746014762564797,0.104198397763848,1468.82085308871,2077.06168831169,3067.65425531915,0.00455949586370217,0.214058258728958,0.562703410055789,0.00118270911363527,0.0487939550549455,0.142714674706613,0.536187266193323,0.647403617958985,0.748092424343396,25.700839442682,28.3943821569888,31.109691359773,0.151029798871641,0.273407371381146,0.428637402837454,0.0228268864340225,0.0426693969534857,0.0625692284651827,0.691430781588599,0.724121218612977,0.755856426121262,16.0337452794657,16.6053491347819,17.3354349644101,12.9143503155756,13.9063206429822,14.9487597967253,0.781522279591077,0.856791600694936,0.959053390859857,0.0265604348643682,0.0697317759975559,0.112369884956709,60.7425110201292,83.6999320862303,132.687540531777
"8",0.7,0.4,3.17527581509594,3.3365234250542,3.52911392345075,0.000842430243496893,0.000899853186140308,0.000955516350979758,0.0474397662287468,0.0716655680441825,0.101774737256784,1597.75171821306,2224.5972465035,3340.00899280576,0,0.077342518073036,0.346988376161002,0,0.0197270123443744,0.0902925844638046,0.570422440722022,0.671393176354766,0.747500010451023,26.8333812360565,28.9156617541851,32.1020707668926,0.0640265826800965,0.145090720944713,0.275595367789793,0.00975242693397137,0.023440738656129,0.0424571310162071,0.714199613925843,0.745066862331389,0.77176459313225,16.8759470861212,17.2443042040488,17.9617144690083,12.9789162931755,13.830447194565,14.7843775155184,0.786935552650494,0.859623874167709,0.93933098344684,0.0324930031714937,0.0631532784151905,0.105167958226574,68.724685497261,98.1007106079842,148.12486298935
"9",0.8,0.4,3.15604398553297,3.34514601461859,3.52348974753223,0.000846071698355926,0.000899089420419868,0.000952082908048111,0.0482788242677452,0.0770291282300182,0.108122596497441,1634.01299224969,2242.71983193956,3404.51999726065,0,0.00902008645594406,0.187894142239432,0,0.00234142908240825,0.0499550717697109,0.609652400685287,0.699049230787971,0.765663544318166,28.1775501928936,30.0920994608493,33.0125468772732,0.00909247397914345,0.0544444203295512,0.126924505285391,0.00139685070175398,0.00867816577820235,0.018997539491362,0.744722716297486,0.768283338942177,0.789320030205947,17.7102263817276,18.1162008632757,18.617366450351,12.8960590249064,13.6526555868944,14.5647577141063,0.77834228810508,0.854696972039837,0.932394577978841,0.0271132760911757,0.0662786923544673,0.110252730169653,73.5458138078725,99.683047140497,157.957101034237
"10",0.9,0.4,3.14904350083836,3.35186967841061,3.5297964576302,0.000848600503684552,0.000900393255988865,0.000954017203960081,0.052254538614248,0.0827734711051991,0.114810106349698,1716.67500859384,2303.62854918152,3579.16503311258,0,0,0.192976801680734,0,0,0.0506629378953364,0.63014267661508,0.716885823836455,0.776014988130872,29.8586304212932,31.7159940266565,34.3019378467805,0,0.00454277033125344,0.0595077607732873,0,0.00064201234109755,0.0101490606672159,0.758666626672029,0.788070151082682,0.813622015441083,18.5702622325813,18.9294255201147,19.3729992915745,12.66102453195,13.5717910764114,14.4412182562451,0.768582250234151,0.843536984487303,0.910888905210194,0.0319450052055109,0.0744725442892464,0.118364440273933,75.1985244399367,109.380214550805,168.362150296008
